from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
27,27,,,9295175,9295289,1,
33,33,,,9295175,9295289,1,
27,27,,,9295186,9295291,1,
33,33,,,9295186,9295291,1,
27,27,,,9295190,9295294,1,
33,33,,,9295190,9295294,1,
27,27,,,9295194,9295296,1,
33,33,,,9295194,9295296,1,
27,27,,,9295198,9295297,1,
33,33,,,9295198,9295297,1,
27,27,,,9295203,9295298,1,
33,33,,,9295203,9295298,1,
27,27,,,9295208,9295301,1,
33,33,,,9295208,9295301,1,
27,27,,,9295212,9295304,1,
33,33,,,9295212,9295304,1,
33,33,,,9295214,9295306,1,
33,33,,,9295216,9295308,1,
33,33,,,9295218,9295310,1,
33,33,,,9295222,9295313,1,
33,33,,,9295235,9295319,1,
33,33,,,9295239,9295320,1,
33,33,,,9295241,9295320,1,
33,33,,,9295245,9295325,1,
33,33,,,9295249,9295327,1,
33,33,,,9295258,9295330,1,
33,33,,,9295260,9295332,1,
33,33,,,9295265,9295335,1,
33,33,,,9295268,9295337,1,
33,33,,,9295271,9295339,1,
33,33,,,9295274,9295341,1,
18,18,,,9295278,9295344,1,
27,27,,,9295278,9295344,1,
33,33,,,9295278,9295344,1,
33,33,,,9295281,9295347,1,
94,94,,,9295068,9295348,1,
94,94,,,9295076,9295350,1,
94,94,,,9295084,9295352,1,
94,94,,,9295089,9295354,1,
94,94,,,9295098,9295357,1,
74,74,,,9294871,9295360,1,
74,74,,,9294999,9295362,1,
74,74,,,9294877,9295364,1,
74,74,,,9294884,9295366,1,
94,94,,,9295135,9295368,1,
94,94,,,9295143,9295370,1,
94,94,,,9295148,9295372,1,
94,94,,,9295151,9295373,1,
94,94,,,9295157,9295376,1,
94,94,,,9295160,9295377,1,
112,112,,,9296955,9296903,1,
124,124,,,9297031,9296919,1,
124,124,,,9297034,9296923,1,
124,124,,,9297009,9296931,1,
124,124,,,9297041,9296931,1,
124,124,,,9297172,9296935,1,
124,124,,,9297172,9296940,1,
116,116,,,9296948,9296950,1,
124,124,,,9296948,9296950,1,
124,124,,,9297178,9296952,1,
116,116,,,9297063,9296955,1,
124,124,,,9297063,9296955,1,
124,124,,,9297065,9296955,1,
124,124,,,9297067,9296957,1,
116,116,,,9297021,9296960,1,
124,124,,,9297021,9296960,1,
124,124,,,9297070,9296960,1,
124,124,,,9297073,9296961,1,
124,124,,,9297074,9296962,1,
112,112,,,9296907,9296963,1,
124,124,,,9297076,9296964,1,
124,124,,,9297078,9296965,1,
124,124,,,9297081,9296968,1,
124,124,,,9297085,9296972,1,
124,124,,,9297087,9296974,1,
116,116,,,9297089,9296976,1,
124,124,,,9297089,9296976,1,
112,112,,,9296913,9296978,1,
124,124,,,9297091,9296979,1,
124,124,,,9297093,9296980,1,
116,116,,,9297095,9296982,1,
124,124,,,9297095,9296982,1,
116,116,,,9297099,9296985,1,
124,124,,,9297099,9296985,1,
116,116,,,9297100,9296986,1,
124,124,,,9297100,9296986,1,
124,124,,,9297102,9296988,1,
124,124,,,9297105,9296992,1,
124,124,,,9297195,9296994,1,
124,124,,,9297108,9296996,1,
124,124,,,9297111,9297000,1,
124,124,,,9297112,9297002,1,
124,124,,,9297113,9297003,1,
124,124,,,9297039,9297007,1,
116,116,,,9297040,9297011,1,
124,124,,,9297040,9297011,1,
124,124,,,9297046,9297013,1,
124,124,,,9297179,9297019,1,
131,131,,,9297179,9297019,1,
124,124,,,9297070,9297021,1,
131,131,,,9297070,9297021,1,
124,124,,,9297141,9297021,1,
116,116,,,9297097,9297029,1,
124,124,,,9297097,9297029,1,
124,124,,,9297112,9297031,1,
131,131,,,9297112,9297031,1,
131,131,,,9297198,9297031,1,
124,124,,,9296922,9297033,1,
116,116,,,9297005,9297035,1,
124,124,,,9297005,9297035,1,
116,116,,,9296926,9297036,1,
124,124,,,9296926,9297036,1,
116,116,,,9296928,9297038,1,
124,124,,,9296928,9297038,1,
124,124,,,9296930,9297042,1,
116,116,,,9296932,9297044,1,
124,124,,,9296932,9297044,1,
124,124,,,9296934,9297045,1,
124,124,,,9296938,9297047,1,
124,124,,,9296941,9297049,1,
124,124,,,9296942,9297051,1,
124,124,,,9297175,9297052,1,
131,131,,,9297175,9297052,1,
124,124,,,9297203,9297052,1,
140,140,,,9297203,9297052,1,
124,124,,,9296944,9297053,1,
124,124,,,9296947,9297056,1,
116,116,,,9296948,9297057,1,
124,124,,,9296948,9297057,1,
124,124,,,9296949,9297058,1,
140,140,,,9297205,9297059,1,
124,124,,,9296951,9297060,1,
140,140,,,9297205,9297061,1,
124,124,,,9296953,9297062,1,
124,124,,,9296954,9297064,1,
116,116,,,9296956,9297066,1,
124,124,,,9296956,9297066,1,
116,116,,,9296958,9297068,1,
124,124,,,9296958,9297068,1,
108,108,,,9296905,9297069,1,
131,131,,,9297184,9297073,1,
124,124,,,9297144,9297074,1,
124,124,,,9296959,9297075,1,
124,124,,,9297146,9297078,1,
131,131,,,9297185,9297078,1,
124,124,,,9297148,9297081,1,
131,131,,,9297187,9297083,1,
124,124,,,9296967,9297084,1,
124,124,,,9297150,9297085,1,
124,124,,,9297151,9297087,1,
131,131,,,9297188,9297087,1,
124,124,,,9296969,9297088,1,
124,124,,,9297154,9297091,1,
140,140,,,9297209,9297091,1,
131,131,,,9297190,9297093,1,
124,124,,,9296975,9297094,1,
124,124,,,9296978,9297094,1,
124,124,,,9296981,9297096,1,
124,124,,,9296984,9297098,1,
131,131,,,9297192,9297100,1,
140,140,,,9297211,9297100,1,
124,124,,,9296987,9297101,1,
124,124,,,9296989,9297103,1,
124,124,,,9296991,9297104,1,
124,124,,,9297162,9297105,1,
124,124,,,9296993,9297106,1,
124,124,,,9296995,9297107,1,
140,140,,,9297213,9297108,1,
124,124,,,9296997,9297109,1,
124,124,,,9296999,9297110,1,
124,124,,,9297167,9297111,1,
124,124,,,9297168,9297112,1,
124,124,,,9297004,9297114,1,
124,124,,,9297170,9297114,1,
124,124,,,9297042,9297125,1,
124,124,,,9297045,9297126,1,
124,124,,,9297047,9297127,1,
124,124,,,9297049,9297129,1,
124,124,,,9297053,9297131,1,
124,124,,,9297056,9297133,1,
124,124,,,9297060,9297135,1,
124,124,,,9297064,9297137,1,
124,124,,,9296969,9297153,1,
124,124,,,9296978,9297155,1,
124,124,,,9297101,9297160,1,
124,124,,,9297104,9297161,1,
124,124,,,9297107,9297164,1,
124,124,,,9297113,9297169,1,
131,131,,,9297036,9297171,1,
131,131,,,9297042,9297173,1,
131,131,,,9297012,9297174,1,
131,131,,,9297049,9297176,1,
131,131,,,9297056,9297177,1,
124,124,,,9297064,9297180,1,
131,131,,,9297064,9297180,1,
124,124,,,9297069,9297182,1,
131,131,,,9297069,9297182,1,
124,124,,,9296969,9297189,1,
131,131,,,9297094,9297191,1,
131,131,,,9297106,9297194,1,
140,140,,,9297036,9297200,1,
140,140,,,9297045,9297201,1,
140,140,,,9297069,9297206,1,
140,140,,,9297072,9297206,1,
140,140,,,9297094,9297210,1,
140,140,,,9297106,9297212,1,
74,74,,,9297588,9297366,1,
74,74,,,9297590,9297367,1,
74,74,,,9297592,9297372,1,
74,74,,,9297865,9297372,1,
74,74,,,9297598,9297374,1,
74,74,,,9297605,9297379,1,
74,74,,,9297607,9297379,1,
74,74,,,9297869,9297379,1,
68,68,,,9297484,9297382,1,
68,68,,,9297497,9297383,1,
68,68,,,9297499,9297385,1,
68,68,,,9297625,9297386,1,
68,68,,,9297629,9297389,1,
74,74,,,9297584,9297402,1,
74,74,,,9297648,9297404,1,
74,74,,,9297651,9297405,1,
62,62,,,9297403,9297406,1,
68,68,,,9297666,9297408,1,
68,68,,,9297669,9297410,1,
20,20,,,9297415,9297416,1,
11,11,,,9297416,9297417,1,
18,18,,,9297416,9297417,1,
20,20,,,9297416,9297417,1,
11,11,,,9297727,9297417,1,
18,18,,,9297727,9297417,1,
18,18,,,9297733,9297418,1,
11,11,,,9297735,9297420,1,
18,18,,,9297735,9297420,1,
20,20,,,9297737,9297421,1,
74,74,,,9297586,9297449,1,
74,74,,,9297592,9297457,1,
74,74,,,9297609,9297484,1,
74,74,,,9297612,9297484,1,
74,74,,,9297616,9297497,1,
74,74,,,9297618,9297499,1,
74,74,,,9297620,9297503,1,
74,74,,,9297623,9297507,1,
74,74,,,9297627,9297512,1,
74,74,,,9297631,9297517,1,
74,74,,,9297634,9297523,1,
74,74,,,9297637,9297525,1,
74,74,,,9297641,9297533,1,
74,74,,,9297643,9297535,1,
74,74,,,9297645,9297538,1,
74,74,,,9297653,9297552,1,
74,74,,,9297655,9297555,1,
74,74,,,9297657,9297558,1,
74,74,,,9297659,9297562,1,
74,74,,,9297662,9297569,1,
74,74,,,9297672,9297576,1,
74,74,,,9297673,9297578,1,
74,74,,,9297674,9297579,1,
74,74,,,9297448,9297585,1,
74,74,,,9297450,9297587,1,
74,74,,,9297452,9297589,1,
62,62,,,9297368,9297591,1,
74,74,,,9297368,9297591,1,
62,62,,,9297370,9297593,1,
74,74,,,9297370,9297593,1,
74,74,,,9297865,9297594,1,
88,88,,,9297865,9297594,1,
94,94,,,9297865,9297594,1,
62,62,,,9297461,9297595,1,
74,74,,,9297461,9297595,1,
74,74,,,9297466,9297597,1,
74,74,,,9297468,9297599,1,
74,74,,,9297470,9297601,1,
74,74,,,9297600,9297602,1,
88,88,,,9297600,9297602,1,
74,74,,,9297477,9297604,1,
74,74,,,9297482,9297606,1,
68,68,,,9297378,9297608,1,
74,74,,,9297487,9297610,1,
68,68,,,9297381,9297613,1,
74,74,,,9297495,9297615,1,
68,68,,,9297384,9297617,1,
74,74,,,9297500,9297619,1,
74,74,,,9297500,9297621,1,
94,94,,,9297875,9297623,1,
74,74,,,9297509,9297624,1,
74,74,,,9297387,9297626,1,
74,74,,,9297388,9297630,1,
94,94,,,9297877,9297631,1,
74,74,,,9297515,9297632,1,
74,74,,,9297390,9297633,1,
74,74,,,9297390,9297635,1,
94,94,,,9297881,9297637,1,
74,74,,,9297393,9297638,1,
74,74,,,9297398,9297644,1,
94,94,,,9297883,9297645,1,
74,74,,,9297398,9297646,1,
74,74,,,9297400,9297647,1,
74,74,,,9297400,9297649,1,
74,74,,,9297542,9297652,1,
94,94,,,9297885,9297653,1,
74,74,,,9297542,9297654,1,
74,74,,,9297406,9297658,1,
74,74,,,9297563,9297660,1,
94,94,,,9297887,9297662,1,
74,74,,,9297570,9297663,1,
68,68,,,9297407,9297665,1,
74,74,,,9297571,9297667,1,
68,68,,,9297409,9297668,1,
94,94,,,9297890,9297669,1,
74,74,,,9297572,9297670,1,
74,74,,,9297575,9297671,1,
94,94,,,9297891,9297672,1,
74,74,,,9297580,9297675,1,
33,33,,,9297800,9297684,1,
33,33,,,9297803,9297688,1,
33,33,,,9297806,9297692,1,
33,33,,,9297808,9297703,1,
33,33,,,9297809,9297713,1,
33,33,,,9297815,9297723,1,
33,33,,,9297818,9297725,1,
33,33,,,9297819,9297725,1,
33,33,,,9297821,9297727,1,
33,33,,,9297823,9297731,1,
33,33,,,9297825,9297733,1,
33,33,,,9297827,9297735,1,
27,27,,,9297828,9297737,1,
33,33,,,9297828,9297737,1,
27,27,,,9297831,9297741,1,
33,33,,,9297831,9297741,1,
27,27,,,9297834,9297750,1,
33,33,,,9297834,9297750,1,
27,27,,,9297837,9297754,1,
33,33,,,9297837,9297754,1,
20,20,,,9297423,9297757,1,
27,27,,,9297839,9297758,1,
33,33,,,9297839,9297758,1,
18,18,,,9297424,9297761,1,
27,27,,,9297842,9297762,1,
33,33,,,9297842,9297762,1,
18,18,,,9297425,9297765,1,
27,27,,,9297844,9297766,1,
33,33,,,9297844,9297766,1,
27,27,,,9297845,9297773,1,
33,33,,,9297845,9297773,1,
27,27,,,9297847,9297775,1,
33,33,,,9297847,9297775,1,
27,27,,,9297849,9297777,1,
33,33,,,9297849,9297777,1,
27,27,,,9297850,9297779,1,
33,33,,,9297850,9297779,1,
27,27,,,9297852,9297783,1,
33,33,,,9297852,9297783,1,
18,18,,,9297854,9297786,1,
27,27,,,9297854,9297786,1,
33,33,,,9297854,9297786,1,
18,18,,,9297856,9297789,1,
27,27,,,9297856,9297789,1,
33,33,,,9297856,9297789,1,
18,18,,,9297858,9297791,1,
27,27,,,9297858,9297791,1,
33,33,,,9297858,9297791,1,
33,33,,,9297859,9297793,1,
33,33,,,9297861,9297795,1,
33,33,,,9297679,9297799,1,
11,11,,,9297685,9297801,1,
18,18,,,9297685,9297801,1,
27,27,,,9297685,9297801,1,
33,33,,,9297685,9297801,1,
11,11,,,9297687,9297802,1,
18,18,,,9297687,9297802,1,
27,27,,,9297687,9297802,1,
33,33,,,9297687,9297802,1,
11,11,,,9297689,9297804,1,
18,18,,,9297689,9297804,1,
27,27,,,9297689,9297804,1,
33,33,,,9297689,9297804,1,
11,11,,,9297691,9297805,1,
18,18,,,9297691,9297805,1,
27,27,,,9297691,9297805,1,
33,33,,,9297691,9297805,1,
27,27,,,9297702,9297807,1,
33,33,,,9297702,9297807,1,
27,27,,,9297706,9297810,1,
33,33,,,9297706,9297810,1,
27,27,,,9297710,9297812,1,
33,33,,,9297710,9297812,1,
27,27,,,9297714,9297813,1,
33,33,,,9297714,9297813,1,
27,27,,,9297719,9297814,1,
33,33,,,9297719,9297814,1,
27,27,,,9297724,9297817,1,
33,33,,,9297724,9297817,1,
27,27,,,9297728,9297820,1,
33,33,,,9297728,9297820,1,
33,33,,,9297730,9297822,1,
33,33,,,9297732,9297824,1,
33,33,,,9297734,9297826,1,
33,33,,,9297738,9297829,1,
33,33,,,9297751,9297835,1,
33,33,,,9297755,9297836,1,
33,33,,,9297757,9297836,1,
33,33,,,9297761,9297841,1,
33,33,,,9297765,9297843,1,
33,33,,,9297774,9297846,1,
33,33,,,9297776,9297848,1,
33,33,,,9297781,9297851,1,
33,33,,,9297784,9297853,1,
33,33,,,9297787,9297855,1,
33,33,,,9297790,9297857,1,
18,18,,,9297794,9297860,1,
27,27,,,9297794,9297860,1,
33,33,,,9297794,9297860,1,
33,33,,,9297797,9297863,1,
94,94,,,9297585,9297864,1,
94,94,,,9297593,9297866,1,
94,94,,,9297601,9297868,1,
94,94,,,9297606,9297870,1,
94,94,,,9297615,9297873,1,
74,74,,,9297387,9297876,1,
74,74,,,9297515,9297878,1,
74,74,,,9297393,9297880,1,
74,74,,,9297398,9297882,1,
94,94,,,9297652,9297884,1,
94,94,,,9297660,9297886,1,
94,94,,,9297665,9297888,1,
94,94,,,9297668,9297889,1,
94,94,,,9297673,9297892,1,
94,94,,,9297676,9297893,1,
112,112,,,9298218,9298167,1,
124,124,,,9298294,9298182,1,
124,124,,,9298297,9298186,1,
124,124,,,9298272,9298194,1,
124,124,,,9298304,9298194,1,
124,124,,,9298435,9298198,1,
124,124,,,9298435,9298203,1,
116,116,,,9298211,9298213,1,
124,124,,,9298211,9298213,1,
124,124,,,9298441,9298215,1,
116,116,,,9298326,9298218,1,
124,124,,,9298326,9298218,1,
124,124,,,9298328,9298218,1,
124,124,,,9298330,9298220,1,
116,116,,,9298284,9298223,1,
124,124,,,9298284,9298223,1,
124,124,,,9298333,9298223,1,
124,124,,,9298336,9298224,1,
124,124,,,9298337,9298225,1,
112,112,,,9298171,9298226,1,
124,124,,,9298339,9298227,1,
124,124,,,9298341,9298228,1,
124,124,,,9298344,9298231,1,
124,124,,,9298348,9298235,1,
124,124,,,9298350,9298237,1,
116,116,,,9298352,9298239,1,
124,124,,,9298352,9298239,1,
112,112,,,9298177,9298241,1,
124,124,,,9298354,9298242,1,
124,124,,,9298356,9298243,1,
116,116,,,9298358,9298245,1,
124,124,,,9298358,9298245,1,
116,116,,,9298362,9298248,1,
124,124,,,9298362,9298248,1,
116,116,,,9298363,9298249,1,
124,124,,,9298363,9298249,1,
124,124,,,9298365,9298251,1,
124,124,,,9298368,9298255,1,
124,124,,,9298458,9298257,1,
124,124,,,9298371,9298259,1,
124,124,,,9298374,9298263,1,
124,124,,,9298375,9298265,1,
124,124,,,9298376,9298266,1,
124,124,,,9298302,9298270,1,
116,116,,,9298303,9298274,1,
